#NAME	CHROM	STRAND	TX_START	TX_END	EXON_START	EXON_END
OR4F5	1	+	69090	70008	69090,	70008,
HPX	11	-	6452278	6462294	6452278,6452870,6453116,6458275,6458669,6459585,6461394,6461696,6461901,6462110,	6452700,6453033,6453247,6458407,6458882,6459739,6461516,6461768,6461960,6462294,
TRIM3	11	-	6469843	6495689	6469843,6470535,6471780,6472121,6472500,6477301,6477526,6478525,6478925,6479294,6486794,6495331,	6470410,6470676,6471851,6472290,6472668,6477405,6478259,6478706,6479077,6479526,6486962,6495689,
ARFIP2	11	-	6496909	6502542	6496909,6498947,6499270,6499967,6500369,6501201,6501552,6502460,	6498498,6499122,6499428,6500189,6500488,6501298,6501653,6502542,
TIMM10B	11	+	6502676	6505909	6502676,6502986,6503274,	6502785,6503082,6505909,
DNHD1	11	+	6518525	6593252	6518525,6518814,6519000,6523982,6530109,6530391,6532502,6540829,6541194,6541467,6549751,6550107,6554256,6554910,6559612,6559841,6560448,6561105,6565350,6565803,6566021,6569092,6569439,6569874,6577912,6579714,6580131,6580410,6584211,6584611,6584922,6585562,6586924,6587470,6587816,6588124,6589285,6589683,6589894,6591238,6591476,6591847,6592865,	6518561,6518897,6520191,6524156,6530313,6530502,6532659,6541084,6541332,6541519,6550017,6550351,6554414,6555403,6559740,6560040,6560543,6561313,6565476,6565901,6568896,6569270,6569632,6570163,6579527,6579923,6580336,6580513,6584361,6584794,6585354,6586034,6587221,6587623,6587995,6589090,6589472,6589806,6590096,6591330,6591626,6592653,6593252,
RRP8	11	-	6616304	6624850	6616304,6621715,6621898,6622155,6622378,6623081,6624633,	6621495,6621812,6622005,6622285,6622832,6623445,6624850,
ILK	11	+	6624960	6632101	6624960,6625409,6629275,6629623,6629923,6630114,6630301,6630529,6630742,6630954,6631166,6631378,6631692,	6625052,6625590,6629441,6629719,6630020,6630198,6630387,6630639,6630870,6631076,6631266,6631509,6632101,
TAF10	11	-	6632072	6633898	6632072,6632419,6632618,6632894,6633188,	6632242,6632534,6632683,6633049,6633898,
TPP1	11	-	6633993	6640692	6633993,6636096,6636401,6636672,6637235,6637545,6637891,6638205,6638531,6638856,6640006,6640426,6640614,	6635917,6636222,6636560,6636793,6637305,6637734,6638090,6638384,6638659,6639007,6640146,6640498,6640692,
DCHS1	11	-	6642553	6677085	6642553,6645960,6646428,6646827,6647150,6647399,6647782,6648019,6649851,6650682,6650902,6651229,6652283,6652541,6652846,6653261,6654642,6655019,6655348,6661047,6676793,	6645621,6646099,6646712,6646958,6647305,6647611,6647896,6648898,6650061,6650808,6651142,6652094,6652441,6652638,6653040,6654287,6654879,6655251,6655537,6662964,6677085,
MRPL17	11	-	6702012	6704632	6702012,6703977,6704353,	6703633,6704046,6704632,
OR2AG2	11	-	6789217	6790286	6789217,	6790286,
OR2AG1	11	+	6806247	6807245	6806247,	6807245,
OR6A2	11	-	6815857	6817014	6815857,	6817014,
OR10A5	11	+	6866882	6867936	6866882,	6867936,
OR10A2	11	+	6890923	6891976	6890923,	6891976,
OR10A4	11	+	6897855	6898850	6897855,	6898850,
OR2D2	11	-	6912720	6913830	6912720,	6913830,
OR2D3	11	+	6942204	6943274	6942204,	6943274,
ZNF215	11	+	6947653	6979068	6947653,6948892,6953324,6962801,6964313,6964776,6976920,	6947916,6949038,6953903,6962884,6964446,6964872,6979068,
ZNF214	11	-	7020548	7041599	7020548,7023939,7041303,	7022786,7024086,7041599,
NLRP14	11	+	7041676	7092539	7041676,7059796,7060944,7063618,7067898,7070901,7078907,7079510,7081124,7083563,7091516,7092403,	7042001,7060106,7061016,7065215,7068063,7071069,7079078,7079681,7081295,7083734,7091687,7092539,
RBMXL2	11	+	7110257	7112131	7110257,	7112131,
SYT9	11	+	7273180	7490273	7273180,7324269,7334625,7437272,7439187,7441736,7488022,	7273562,7324621,7335172,7437393,7439359,7441866,7490273,
OLFML1	11	+	7506618	7531580	7506618,7507105,7509357,7530628,	7506867,7507235,7509646,7531580,
PPFIBP2	11	+	7535000	7674987	7535000,7570670,7586783,7614362,7618790,7631521,7642165,7647007,7649515,7650689,7652155,7654097,7655725,7656782,7660962,7662709,7663528,7669617,7670030,7670377,7670762,7672070,7672886,7674254,	7535352,7570770,7586998,7614455,7618904,7631653,7642258,7647122,7649577,7650765,7652259,7654165,7655783,7656824,7661101,7662851,7663657,7669768,7670142,7670466,7670885,7672196,7673075,7674987,
CYB5R2	11	-	7686330	7694732	7686330,7687681,7688958,7689708,7690435,7690855,7693681,7693978,7694649,	7686777,7687781,7689044,7689792,7690565,7690962,7693754,7694122,7694732,
OVCH2	11	-	7710668	7727968	7710668,7711154,7712499,7713132,7716288,7716800,7717219,7718011,7718255,7720296,7721842,7722870,7723262,7723703,7725244,7726111,7727853,	7710833,7711244,7712631,7713226,7716419,7716903,7717257,7718136,7718346,7720320,7722032,7723022,7723358,7723876,7725336,7726221,7727968,
OR5P2	11	-	7817451	7818520	7817451,	7818520,
OR5P3	11	-	7846583	7847519	7846583,	7847519,
OR10A6	11	-	7949179	7950209	7949179,	7950209,
OR10A3	11	-	7960080	7961141	7960080,	7961141,
NLRP10	11	-	7980970	7985204	7980970,7984753,	7982869,7985204,
EIF3F	11	+	7991797	8023409	7991797,8003216,8008444,8013327,8013630,8014433,8015972,8016528,8016800,8017491,	7991854,8003330,8009263,8013398,8013710,8014571,8016064,8016665,8016914,8023409,
TUB	11	+	8102908	8123515	8102908,8111156,8111615,8115592,8117044,8118231,8118774,8119260,8120304,8122049,8122372,8123032,	8103095,8111208,8111778,8115736,8117212,8118353,8118972,8119373,8120422,8122148,8122544,8123515,
RIC3	11	-	8130488	8190602	8130488,8148205,8158924,8159818,8161513,8190412,	8132684,8148351,8159018,8159894,8161740,8190602,
LMO1	11	-	8245850	8285405	8245850,8248521,8251837,8284884,	8246268,8248647,8252051,8285405,
STK33	11	-	8413417	8615503	8413417,8435041,8457040,8457573,8462224,8474368,8476290,8478887,8483351,8486255,8494709,8496227,8554894,8615290,	8414257,8435239,8457126,8457686,8462300,8474453,8476379,8479026,8483456,8486369,8494823,8496613,8555043,8615503,
TRIM66	11	-	8633583	8693413	8633583,8640296,8640929,8641596,8641992,8642578,8643191,8644362,8645905,8646259,8660200,8661773,8664555,8667287,8667993,8669516,8669962,8671286,8673346,8675980,8684675,8693332,	8639550,8640515,8641082,8641671,8642119,8642868,8643366,8644423,8646098,8646775,8660362,8662699,8664673,8667434,8668108,8669627,8670095,8671434,8673450,8676125,8684795,8693413,
RPL27A	11	+	8703957	8711419	8703957,8704748,8705552,8706264,8707224,	8704363,8704812,8705628,8706439,8711419,
ST5	11	-	8714897	8932498	8714897,8717009,8717973,8719071,8720479,8720759,8724118,8728631,8729323,8732391,8732668,8734097,8735544,8736156,8737149,8739287,8747619,8751496,8772167,8832793,8860856,8902556,8932367,	8715677,8717096,8718213,8719183,8720521,8720937,8724267,8728772,8729401,8732461,8732778,8734282,8735589,8736253,8737365,8739439,8747756,8752756,8772272,8832882,8860897,8902656,8932498,
AKIP1	11	+	8932686	8941631	8932686,8932990,8933999,8936372,8938833,8940883,	8932770,8933218,8934080,8936477,8938914,8941631,
C11orf16	11	-	8941622	8954536	8941622,8942840,8947009,8948486,8950923,8953688,8954447,	8941997,8943062,8947654,8948721,8951080,8953873,8954536,
ASCL3	11	-	8959125	8959758	8959125,	8959758,
TMEM9B	11	-	8968840	8986320	8968840,8974749,8977736,8983638,8985755,	8970022,8974884,8977845,8983730,8986320,
NRIP3	11	-	9002122	9025596	9002122,9005421,9005618,9007257,9009094,9009664,9025308,	9005107,9005516,9005671,9007397,9009177,9009829,9025596,
SCUBE2	11	-	9042430	9113146	9042430,9043422,9047248,9048910,9051430,9052304,9068902,9069489,9072152,9074292,9074645,9075183,9077339,9080849,9081954,9087437,9088243,9090916,9096027,9100930,9111253,9112942,	9042744,9043502,9047401,9049108,9051592,9052472,9069109,9069645,9072257,9074379,9074762,9075306,9077456,9080972,9082071,9087527,9088360,9091042,9096162,9101056,9111376,9113146,
DENND5A	11	-	9160371	9286937	9160371,9163486,9164268,9164949,9165643,9166541,9167216,9168576,9171627,9172226,9173904,9182259,9187382,9191402,9192173,9199678,9200404,9202313,9215040,9225206,9228219,9229107,9286507,	9161401,9163655,9164392,9165032,9165825,9166660,9167362,9168698,9171756,9172311,9173989,9182412,9187514,9191496,9192324,9199913,9200620,9202631,9215228,9225864,9228329,9229179,9286937,
TMEM41B	11	-	9302203	9336114	9302203,9304917,9308001,9309248,9309988,9316805,9321130,9335867,	9302588,9305140,9308140,9309353,9310082,9316934,9321248,9336114,
IPO7	11	+	9406168	9469673	9406168,9424836,9430032,9431474,9435801,9438605,9441957,9442160,9444552,9445323,9446460,9446692,9450086,9450577,9451220,9452421,9455116,9455267,9456480,9457817,9459300,9459626,9462001,9463627,9466643,	9406394,9424918,9430186,9431633,9435958,9438695,9442052,9442245,9444687,9445423,9446537,9446809,9450176,9450743,9451381,9452550,9455183,9455393,9456578,9457913,9459521,9459832,9462208,9463744,9469673,
ZNF143	11	+	9482511	9550071	9482511,9492848,9494223,9495487,9496096,9499936,9501018,9516192,9517849,9519221,9522637,9530165,9533994,9537747,9546786,9549076,	9482623,9492967,9494316,9495571,9496180,9500133,9501093,9516312,9517925,9519347,9522817,9530393,9534143,9537909,9546933,9550071,
WEE1	11	+	9595227	9610754	9595227,9597434,9597776,9598033,9598688,9603078,9606804,9606988,9607995,9608257,9609995,	9596056,9597640,9597840,9598206,9598810,9603225,9606900,9607074,9608166,9608403,9610754,
SWAP70	11	+	9685623	9774538	9685623,9715692,9735012,9746204,9749599,9750889,9754075,9759759,9761727,9769404,9770633,9771410,	9685825,9715833,9735186,9746432,9749746,9750998,9754257,9759867,9761894,9769603,9770730,9774538,
SBF2	11	-	9800213	10315754	9800213,9803053,9805897,9806671,9809180,9810655,9812102,9817377,9829546,9830447,9834078,9838386,9850902,9853770,9861044,9864171,9867111,9868502,9871569,9874222,9875086,9878004,9879772,9917489,9983503,9985319,9989887,10011043,10013961,10014536,10015467,10019812,10022460,10024103,10049998,10051311,10052594,10064390,10215448,10315561,	9802063,9803185,9805985,9806865,9809285,9810889,9812230,9817504,9829732,9830549,9834255,9838571,9851043,9853967,9861243,9864317,9867287,9868630,9871765,9874296,9875259,9878267,9879943,9917558,9983653,9985429,9990092,10011142,10014090,10014650,10015545,10019926,10022569,10024236,10050104,10051422,10052717,10064528,10215534,10315754,
ADM	11	+	10326226	10328944	10326226,10327226,10327495,10327878,	10326776,10327345,10327645,10328944,
AMPD3	11	+	10476866	10528673	10476866,10483061,10500072,10503609,10506366,10508781,10514895,10516445,10517116,10518358,10521632,10523016,10524267,10526095,10527254,	10476995,10483287,10500277,10503772,10506586,10508911,10515090,10516577,10517280,10518485,10521796,10523137,10524441,10526206,10528673,
MTRNR2L8	11	-	10529433	10530736	10529433,	10530736,
RNF141	11	-	10533224	10562764	10533224,10540580,10546738,10552189,10555562,10562668,	10536613,10540688,10546920,10552298,10555752,10562764,
LYVE1	11	-	10578512	10590238	10578512,10581362,10582041,10585486,10585749,10589994,	10580844,10581441,10582347,10585626,10585921,10590238,
MRVI1	11	-	10594641	10715299	10594641,10602001,10603413,10613094,10615038,10615692,10622464,10624666,10625951,10628288,10631274,10645324,10647512,10649262,10649519,10650297,10651084,10653537,10655514,10673571,10715082,	10598122,10602136,10603533,10613159,10615146,10615742,10622606,10624798,10626092,10628319,10631398,10645403,10648130,10649307,10649572,10650375,10651258,10653608,10655618,10673729,10715299,
CTR9	11	+	10772533	10801290	10772533,10774218,10776504,10777224,10778295,10781719,10783493,10784977,10785189,10785658,10785854,10786094,10787948,10789352,10789620,10789889,10791756,10792033,10793091,10794066,10794673,10795558,10796753,10797067,10800225,	10773004,10774317,10776744,10777342,10778385,10781868,10783601,10785085,10785426,10785748,10785983,10786278,10788037,10789538,10789708,10790038,10791873,10792179,10793163,10794202,10794820,10795716,10796850,10797180,10801290,
EIF4G2	11	-	10818596	10829520	10818596,10820538,10820759,10821098,10821636,10821978,10822277,10822508,10823207,10823595,10823840,10824576,10824757,10825026,10825445,10825683,10825833,10826459,10827453,10828366,10828801,10829095,	10819428,10820660,10820971,10821303,10821895,10822194,10822382,10822634,10823321,10823756,10823982,10824675,10824841,10825137,10825597,10825750,10825965,10826562,10827594,10828432,10828928,10829520,
ZBED5	11	-	10874250	10879620	10874250,10877690,10879408,	10876665,10877804,10879620,
GALNT18	11	-	11292422	11643552	11292422,11314575,11348632,11354240,11362365,11394061,11398728,11400627,11454167,11470290,11642905,	11292837,11314740,11348728,11354378,11362551,11394176,11398926,11400811,11454334,11470483,11643552,
CSNK2A3	11	-	11373488	11374904	11373488,	11374904,
AC131935.1	11	-	11747059	11747257	11747059,	11747257,
USP47	11	+	11862969	11980870	11862969,11906013,11913514,11919143,11924261,11924809,11926945,11941702,11941888,11944270,11950980,11951590,11952242,11954550,11955377,11957849,11959803,11961975,11963881,11969491,11970024,11971435,11971910,11974287,11976443,11976580,11977547,	11863771,11906127,11913653,11919240,11924407,11924889,11927095,11941798,11942041,11944438,11951112,11951667,11952298,11954663,11955482,11958057,11959919,11962095,11964659,11969667,11970105,11971551,11972029,11974418,11976491,11976711,11980870,
DKK3	11	-	11984652	12030629	11984652,11987355,11988500,11989941,12020242,12023846,12029916,12030416,	11986233,11987512,11988645,11990034,12020326,12023984,12030155,12030629,
MICAL2	11	+	12132137	12285332	12132137,12159936,12183625,12225796,12229569,12231043,12234801,12237765,12241747,12243190,12244163,12244957,12246219,12247717,12248571,12257723,12260982,12262586,12263760,12264217,12265533,12270730,12277189,12278331,12280014,12281341,12284026,12285106,	12132273,12160011,12183966,12226004,12229686,12231145,12234957,12237866,12242005,12243306,12244290,12245048,12246367,12247917,12248678,12257792,12261132,12262709,12263979,12264319,12265659,12270793,12277297,12278518,12280103,12281444,12284084,12285332,
MICALCL	11	+	12308446	12380691	12308446,12313689,12315107,12341242,12345524,12348719,12371384,12376330,12379841,	12308711,12313844,12316404,12341358,12345617,12348813,12371484,12376404,12380691,
PARVA	11	+	12398731	12552348	12398731,12495291,12495459,12499393,12518004,12525860,12530130,12533060,12534845,12535543,12539156,12539991,12549395,	12399330,12495381,12495530,12499496,12518145,12525976,12530189,12533080,12534907,12535612,12539258,12540064,12552348,
TEAD1	11	+	12696137	12959581	12696137,12696955,12785725,12883796,12886384,12901254,12902551,12903442,12904547,12923486,12946458,12951720,12958655,	12696381,12697108,12785981,12883861,12886447,12901389,12902598,12903504,12904672,12923660,12946599,12951873,12959581,
RASSF10	11	+	13031123	13033653	13031123,	13033653,
ARNTL	11	+	13299344	13408813	13299344,13331533,13347959,13371491,13375847,13378285,13378601,13379980,13381891,13387046,13388211,13391164,13393712,13395641,13397158,13398186,13399883,13402707,13407235,13408142,	13299470,13331606,13348014,13371617,13375995,13378324,13378643,13380138,13381971,13387139,13388329,13391314,13393956,13395748,13397309,13398275,13399992,13402801,13407338,13408813,
BTBD10	11	-	13409547	13484827	13409547,13424714,13427205,13435076,13438704,13441006,13443188,13466570,13484638,	13410688,13424825,13427403,13435197,13438807,13441292,13443385,13466728,13484827,
PTH	11	-	13513601	13517567	13513601,13514316,13517457,	13514213,13514407,13517567,
FAR1	11	+	13690216	13753893	13690216,13716305,13721863,13729446,13732239,13733310,13733474,13734512,13736055,13743276,13749102,13750158,	13690353,13716501,13722039,13729626,13732417,13733355,13733593,13734580,13736227,13743406,13749230,13753893,
SPON1	11	+	13984235	14289430	13984235,14004393,14063067,14096891,14101445,14156965,14264877,14276073,14277192,14278162,14279261,14280825,14281079,14282133,14284257,14287069,	13984689,14004500,14063201,14096965,14101567,14157114,14264942,14276275,14277333,14278238,14279444,14280996,14281247,14282298,14284521,14289430,
RRAS2	11	-	14300295	14380730	14300295,14303147,14316016,14316305,14317313,14380308,	14300970,14303266,14316125,14316408,14317401,14380730,
COPB1	11	-	14479051	14521398	14479051,14480077,14481753,14482731,14486456,14487827,14490226,14490881,14496040,14497330,14498464,14501114,14502304,14502535,14504577,14507912,14510037,14512110,14515187,14515755,14520383,14521154,	14479429,14480233,14481843,14482877,14486576,14487972,14490406,14491109,14496161,14497491,14498561,14501260,14502451,14502643,14504697,14508050,14510130,14512225,14515357,14515985,14520531,14521398,
RP11-140L24.4	11	-	14515328	14541890	14515328,14515755,14520383,14526702,14529201,14532417,14535115,14535935,14539187,14539425,14540542,14541842,	14515357,14515985,14520531,14526794,14529312,14532497,14535245,14536037,14539291,14539527,14540587,14541890,
PSMA1	11	-	14526421	14542242	14526421,14529201,14532417,14535115,14535362,14535948,14539187,14539425,14540542,14541842,	14526794,14529312,14532497,14535245,14535433,14536037,14539291,14539527,14540587,14542242,
PDE3B	11	+	14665268	14893590	14665268,14793482,14807982,14810651,14825489,14839728,14840681,14852243,14853185,14854267,14856527,14865372,14880588,14882750,14889051,14891006,	14666599,14793533,14808231,14810788,14825596,14839939,14840755,14852392,14853323,14854379,14856641,14865572,14880792,14882912,14889304,14893590,
CYP2R1	11	-	14898985	14913798	14898985,14900659,14901681,14907321,14913526,	14899843,14900989,14902314,14907463,14913798,
CALCA	11	-	14988213	14992747	14988213,14989219,14991480,14992652,	14988647,14989400,14991621,14992747,
CALCB	11	+	15095107	15100178	15095107,15096255,15096606,15098831,15099628,	15095209,15096350,15096744,15099016,15100178,
INSC	11	+	15133969	15268754	15133969,15170675,15197286,15198656,15199869,15212246,15222369,15243022,15247195,15257147,15260464,15261992,15267457,	15134111,15170776,15197632,15198709,15199993,15212360,15222495,15243194,15247374,15257214,15260620,15262069,15268754,
SOX6	11	-	15987994	16362815	15987994,16007749,16010542,16036487,16068059,16071300,16077297,16117541,16119154,16133348,16205431,16208328,16256127,16339991,16362557,	15994658,16007966,16010716,16036596,16068247,16071484,16077447,16117664,16119234,16133469,16205500,16208501,16256217,16340199,16362815,
C11orf58	11	+	16759947	16777770	16759947,16766147,16769643,16774331,16776417,	16760388,16766231,16769704,16774441,16777770,
PLEKHA7	11	-	16809030	17035959	16809030,16811321,16812344,16812557,16816034,16816456,16822520,16823214,16824518,16824773,16834659,16837724,16838346,16847666,16863093,16872737,16873829,16876435,16877349,16892645,17035535,17035671,17035862,	16810843,16811425,16812462,16812746,16816261,16816565,16822622,16823364,16824599,16824842,16834713,16837811,16838869,16848137,16863269,16872838,16873902,16876540,16877461,16892729,17035593,17035748,17035959,
RPS13	11	-	17095935	17099334	17095935,17096643,17097000,17098714,17098975,17099165,	17096013,17096744,17097170,17098793,17099024,17099334,
PIK3C2A	11	-	17108118	17191288	17108118,17112880,17113093,17113542,17113705,17115807,17118603,17121406,17122824,17124208,17126715,17131978,17134120,17135907,17139037,17140191,17140766,17141332,17143734,17144248,17150846,17153462,17156365,17156657,17158028,17167214,17167409,17169063,17170213,17172044,17177072,17190223,	17111467,17113006,17113203,17113615,17113823,17115932,17118811,17121516,17122981,17124378,17126852,17132108,17134213,17136012,17139218,17140286,17140860,17141521,17143880,17144360,17151014,17153585,17156576,17156706,17158172,17167278,17167489,17169175,17170334,17172202,17177176,17191288,
NUCB2	11	+	17298311	17353758	17298311,17304335,17316870,17317650,17323290,17331118,17332371,17332739,17333418,17333574,17336932,17351673,17352448,17352958,	17298375,17304490,17317014,17317758,17323417,17331222,17332557,17332830,17333477,17333667,17337022,17351844,17352530,17353758,
NCR3LG1	11	+	17373272	17398888	17373272,17378197,17388555,17390413,17393552,	17373586,17378548,17388894,17390511,17398888,
KCNJ11	11	-	17407405	17410206	17407405,	17410206,
ABCC8	11	-	17414431	17498392	17414431,17415243,17415812,17416718,17417156,17417398,17418462,17418739,17419230,17419885,17424207,17426058,17427040,17428168,17428434,17428900,17429938,17432062,17434212,17434940,17436058,17436850,17438476,17448595,17449413,17449835,17450111,17452360,17453750,17464266,17464724,17470062,17474665,17482034,17483129,17484984,17491647,17496432,17498175,	17414675,17415306,17415946,17416822,17417265,17417477,17418593,17418860,17419344,17419988,17424300,17426216,17427110,17428335,17428676,17429000,17430064,17432200,17434293,17435025,17436157,17436886,17438509,17448701,17449489,17449952,17450217,17452506,17453791,17464429,17464859,17470218,17474830,17482223,17483372,17485151,17491769,17496574,17498392,
USH1C	11	-	17515878	17565854	17515878,17517115,17518304,17519708,17522597,17523028,17523485,17526193,17527376,17530902,17531951,17533448,17537787,17542416,17542892,17544330,17544757,17544965,17545997,17547893,17548299,17548562,17548769,17552700,17552945,17554801,17565818,	17515923,17517224,17518360,17519818,17522697,17523082,17523527,17526244,17527496,17531385,17532068,17533601,17537837,17542541,17542958,17544473,17544814,17545025,17546082,17547988,17548357,17548587,17548878,17552839,17553089,17554869,17565854,
OTOG	11	+	17568919	17668697	17568919,17569473,17569698,17573546,17574665,17574911,17577325,17578664,17579731,17580084,17580598,17581080,17582255,17582637,17583208,17590702,17591759,17593626,17594624,17596266,17598102,17598414,17599919,17608020,17612996,17614739,17615156,17615593,17617584,17618397,17621217,17623756,17627403,17629842,17630676,17631201,17633708,17634166,17635158,17650679,17653248,17653634,17655226,17655615,17656390,17656626,17657156,17659997,17660969,17662291,17662459,17663393,17663673,17665007,17667110,17667290,	17569013,17569534,17569759,17573622,17574758,17575066,17577444,17578870,17579862,17580191,17580708,17581209,17582364,17582684,17583354,17590835,17591937,17593751,17594837,17596459,17598177,17598458,17600073,17608128,17613135,17614874,17615303,17615713,17617701,17618554,17621244,17623924,17627682,17629960,17630756,17632970,17633877,17634312,17635248,17650863,17653469,17653773,17655421,17655828,17656495,17656734,17657258,17660096,17661010,17662367,17662638,17663498,17663793,17665053,17667190,17668697,
MYOD1	11	+	17741114	17743678	17741114,17742448,17742801,	17741959,17742527,17743678,
KCNC1	11	+	17756358	17804219	17756358,17793211,17801002,17803216,	17758119,17794145,17801191,17804219,
SERGEF	11	-	17809594	18034709	17809594,17899754,17981016,18010143,18014477,18017342,18022043,18025987,18028137,18029487,18034497,	17809960,17899791,17981183,18010302,18014540,18017456,18022104,18026082,18028293,18029623,18034709,
TPH1	11	-	18039110	18062872	18039110,18044344,18045434,18047121,18048036,18050711,18051058,18054820,18057505,18062192,	18042712,18044478,18045530,18047248,18048172,18050908,18051126,18054921,18057689,18062872,
SAAL1	11	-	18101838	18127638	18101838,18102957,18105081,18108412,18108689,18110876,18111721,18111980,18113791,18118317,18124779,18127453,	18102038,18103050,18105278,18108601,18108772,18111057,18111837,18112040,18113871,18118401,18124893,18127638,
MRGPRX3	11	+	18142501	18160027	18142501,18154160,18158724,	18142711,18154286,18160027,
MRGPRX4	11	+	18194383	18195827	18194383,	18195827,
SAA4	11	-	18252895	18258440	18252895,18253941,18257382,18258263,	18253211,18254080,18257477,18258440,
SAA2-SAA4	11	-	18252969	18270182	18252969,18253941,18257382,18267456,18269467,18270149,	18253211,18254080,18257477,18267595,18269562,18270182,
SAA2	11	-	18266774	18270190	18266774,18267456,18269467,18270149,	18267062,18267595,18269562,18270190,
SAA1	11	+	18287720	18291521	18287720,18288430,18290741,18291263,	18287843,18288525,18290880,18291521,
HPS5	11	-	18300605	18343721	18300605,18303496,18305341,18306892,18308137,18309081,18309439,18312988,18314445,18316566,18317545,18318344,18319105,18320338,18322374,18326968,18327681,18330492,18332287,18332933,18333460,18339297,18343492,	18301489,18303767,18305448,18307006,18308257,18309237,18309560,18313566,18314523,18316716,18317669,18318531,18319264,18320517,18322463,18327040,18327894,18330626,18332480,18332998,18333571,18339454,18343721,
GTF2H1	11	+	18343841	18387808	18343841,18347493,18354606,18357300,18359655,18361110,18362807,18363074,18369134,18369378,18373427,18373875,18379498,18380071,18382161,18387329,	18344287,18347700,18354775,18357493,18359821,18361204,18362957,18363154,18369262,18369466,18373516,18373993,18379589,18380187,18382254,18387808,
LDHA	11	+	18415934	18429972	18415934,18418365,18420977,18422383,18424386,18425240,18426995,18428663,	18416183,18418515,18421095,18422557,18424560,18425358,18427119,18429972,
LDHC	11	+	18433853	18473605	18433853,18434255,18436730,18451283,18456286,18460074,18467756,18472509,	18433955,18434390,18436848,18451457,18456460,18460192,18467880,18473605,
LDHAL6A	11	+	18477370	18500870	18477370,18478218,18485507,18487183,18497012,18497930,18499166,18500252,	18477625,18478353,18485625,18487357,18497186,18498048,18499290,18500870,
TSG101	11	-	18501857	18548779	18501857,18503176,18505416,18524032,18528403,18531088,18536224,18537645,18541065,18548321,	18502182,18503416,18505619,18524124,18528470,18531212,18536388,18537711,18541150,18548779,
UEVLD	11	-	18551155	18610230	18551155,18555876,18557952,18566169,18568426,18579774,18586438,18587893,18591760,18596893,18600270,18610159,	18554034,18556000,18558016,18566343,18568597,18579877,18586557,18588029,18591924,18596959,18600355,18610230,
SPTY2D1-AS1	11	+	18621333	18625369	18621333,18622638,18624704,18625318,	18621544,18622711,18624742,18625369,
SPTY2D1	11	-	18627947	18656040	18627947,18633023,18633860,18636109,18638421,18655744,	18631501,18633101,18634035,18637645,18638536,18656040,
TMEM86A	11	+	18720337	18726332	18720337,18722479,18723119,	18720454,18722744,18726332,
IGSF22	11	-	18725851	18747727	18725851,18727363,18728460,18729350,18729753,18730933,18731873,18732201,18733628,18735398,18735823,18736046,18736978,18738274,18739477,18740161,18741262,18741610,18741732,18743081,18743456,18745674,18747620,	18726085,18727693,18728760,18729543,18729842,18731230,18732002,18732375,18733931,18735695,18735965,18736171,18737263,18738547,18739640,18740275,18741440,18741650,18741832,18743218,18743588,18745816,18747727,
PTPN5	11	-	18749474	18813389	18749474,18750999,18751204,18754138,18754781,18755102,18759426,18762149,18763808,18764538,18764868,18765552,18787353,18793485,18813071,	18750574,18751113,18751365,18754249,18754919,18755182,18759511,18762339,18764050,18764622,18764976,18765746,18787430,18793618,18813389,
MRGPRX1	11	-	18955359	18956549	18955359,	18956549,
MRGPRX2	11	-	19076001	19082228	19076001,19082165,	19077974,19082228,
ZDHHC13	11	+	19138675	19197962	19138675,19164524,19167727,19169142,19170733,19172273,19173704,19174105,19177342,19180486,19184849,19185847,19186598,19187848,19191957,19194269,19197368,	19138823,19164670,19167850,19169220,19170878,19172338,19173867,19174231,19177476,19180587,19184974,19185910,19186692,19187932,19192115,19194367,19197962,
CSRP3	11	-	19203576	19223589	19203576,19206498,19207762,19209682,19213883,19223500,	19204293,19206592,19207895,19209851,19214023,19223589,
E2F8	11	-	19245609	19263167	19245609,19246767,19247278,19251000,19251787,19252177,19253780,19255906,19256290,19258860,19259400,19261653,19263043,	19246387,19247162,19247411,19251535,19251875,19252381,19253918,19256068,19256605,19259017,19259679,19261777,19263167,
NAV2	11	+	19734880	20143144	19734880,19854029,19864416,19890470,19901414,19913979,19954721,19961206,19967946,19970236,20005670,20057504,20065526,20066513,20070273,20071381,20072834,20075625,20077314,20083852,20089731,20089869,20099097,20099538,20101609,20104137,20104552,20112410,20113751,20114644,20117217,20119122,20122482,20124800,20125198,20127076,20129209,20136137,20139678,	19735508,19854147,19864469,19890543,19901673,19914140,19955823,19961319,19968055,19970626,20005793,20057643,20065818,20067216,20070741,20071447,20072879,20075786,20077503,20083905,20089755,20089944,20099181,20099650,20101755,20104146,20104725,20112564,20113914,20114745,20117313,20119291,20122718,20124955,20125270,20127273,20129328,20136341,20143144,
DBX1	11	-	20177700	20182159	20177700,20178582,20180736,20181503,	20178119,20178785,20180838,20182159,
HTATIP2	11	+	20385268	20404880	20385268,20385782,20388719,20398125,20403723,20404525,	20385295,20385978,20388827,20398263,20403785,20404880,
PRMT3	11	+	20409075	20530799	20409075,20409564,20411289,20413756,20414442,20417348,20419122,20424464,20429456,20448311,20473675,20483525,20486005,20515464,20515712,20529849,	20409320,20409700,20411372,20413806,20414545,20417508,20419267,20424530,20429578,20448411,20473754,20483713,20486092,20515515,20515800,20530799,
